City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1235,victoria,HK,22.2855,114.1577,69.19,89,100,11.01,overcast clouds
1236,ponta do sol,PT,32.6667,-17.1,58.01,78,79,3.98,broken clouds
1237,bathsheba,BB,13.2167,-59.5167,74.01,83,40,6.91,scattered clouds
1238,belyy yar,RU,53.6039,91.3903,-5.91,84,75,2.24,smoke
1239,kabalo,CD,-6.05,26.9167,65.68,98,100,2.51,overcast clouds
1240,upernavik,GL,72.7868,-56.1549,2.8,90,100,16.6,overcast clouds
1241,saint-philippe,RE,-21.3585,55.7679,72.99,83,53,8.32,light rain
1242,balkhash,KZ,46.844,74.9804,-3.39,84,0,15.66,clear sky
1243,horqueta,PY,-23.3428,-57.0597,72.25,98,89,2.71,overcast clouds
1244,qaanaaq,GL,77.484,-69.3632,-10.25,71,28,8.14,scattered clouds
1245,muhos,FI,64.808,25.9931,20.98,99,89,2.26,overcast clouds
1246,bubaque,GW,11.2833,-15.8333,77.54,69,21,15.12,few clouds
1247,buraydah,SA,26.326,43.975,45.05,41,29,8.08,scattered clouds
1248,saldanha,ZA,-33.0117,17.9442,60.85,88,0,13.87,clear sky
1249,raduzhnyy,RU,62.0961,77.475,6.94,95,100,9.8,overcast clouds
1250,chapais,CA,49.7834,-74.8492,-6.02,89,100,10.58,overcast clouds
1251,bambous virieux,MU,-20.3428,57.7575,77.22,88,75,3.44,broken clouds
1252,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
1253,rio grande,BR,-32.035,-52.0986,69.94,56,100,10.78,overcast clouds
1254,makurdi,NG,7.7411,8.5121,73.33,25,0,5.35,clear sky
1255,channel-port aux basques,CA,47.5702,-59.1367,14.85,72,79,4.5,broken clouds
1256,sabha,LY,27.0377,14.4283,41.81,48,2,7.99,clear sky
1257,sao filipe,CV,14.8961,-24.4956,71.46,72,95,13.47,overcast clouds
1258,upernavik,GL,72.7868,-56.1549,2.8,90,100,16.6,overcast clouds
1259,sao joao do piaui,BR,-8.3581,-42.2467,72.19,85,100,0.94,overcast clouds
1260,georgetown,MY,5.4112,100.3354,87.73,78,20,5.99,haze
1261,saint-philippe,RE,-21.3585,55.7679,72.99,83,53,8.32,light rain
1262,narsaq,GL,60.9167,-46.05,-1.64,85,13,6.46,few clouds
1263,boa vista,BR,2.8197,-60.6733,80.58,65,0,5.75,clear sky
1264,aripuana,BR,-9.1667,-60.6333,71.04,95,86,1.23,overcast clouds
1265,roald,NO,62.5833,6.1333,37.54,60,100,10.36,overcast clouds
1266,coruripe,BR,-10.1256,-36.1756,77.59,82,100,6.04,overcast clouds
1267,bosobolo,CD,4.1833,19.9,72.72,32,100,2.44,overcast clouds
1268,mercedes,AR,-34.6515,-59.4307,61.84,78,0,5.75,clear sky
1269,cidreira,BR,-30.1811,-50.2056,71.69,66,95,11.86,overcast clouds
1270,zonguldak,TR,41.25,31.8333,14.7,89,12,5.59,few clouds
1271,nkpor,NG,6.1516,6.8446,71.19,53,1,1.59,clear sky
1272,maragogi,BR,-9.0122,-35.2225,77.52,82,76,3.78,broken clouds
1273,port alfred,ZA,-33.5906,26.891,69.64,88,69,14.99,broken clouds
1274,vila franca do campo,PT,37.7167,-25.4333,55.81,76,85,9.33,overcast clouds
